COMPANY_ID,COMPANY_NAME,SALES
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
0001,CNN,9999.0
0002,IBM,8888.0
003,GOOGLE,777.0
004,MS,555.0
